id,Company,Country,Industry,Sales (M),Profits (M),Assets (M),Market Value (M),Employee
602,China Energy Engineering Group,China,"Engineering, Construction",33223,540 ,41840,-,169823
603,China Everbright Bank,China,Regional Banks,27100,4700,487800,25700,-
604,China Everbright Group,China,Banks: Commercial and Savings,32901,2114,538517,-,59500
605,China FAW Group,China,Motor Vehicles and Parts,62852,3253,51325,-,132083
606,China General Technology,China,"Engineering, Construction",27667,523 ,21471,-,39829
607,China Gezhouba,China,Construction Services,12800,427,19700,4200,-
608,China Grand Automotive Services,China,Investment Services,7000,149,11300,9700,-
609,China Great Wall Computer,China,Computer Hardware,11600,-9,6500,2500,-
610,China Guodian,China,Energy,30515,819 ,121090,-,126502
611,China Hongqiao Group,China,Aluminum,7000,584,16400,5300,-
612,China Huadian,China,Utilities,31437,1213,117240,-,109431
613,China Huaneng Group,China,Energy,43224,775 ,149670,-,142910
614,China Huarong Asset Management,China,Major Banks,11300,2300,118500,14300,-
615,China International Marine,China,Heavy Equipment,9300,316,16400,5500,-
616,China Life Insurance,China,Life & Health Insurance,81500,5600,377000,55700,-
617,China Life Insurance (Taiwan),Taiwan,Life & Health Insurance,5900,289,36600,2500,-
618,China Longyuan Power,China,Diversified Utilities,3100,460,20600,5900,-
619,China Mengniu Dairy,China,Food Processing,7800,377,7800,6900,-
620,China Merchants Bank,China,Regional Banks,48200,9200,843100,66800,-
621,China Merchants Holdings,Hong Kong,Other Transportation,1100,620,13200,7800,-
622,China Merchants Securities,China,Investment Services,4000,1700,44900,15500,-
623,China Merchants Shekou Industrial Zone Holdings,China,Real Estate,7000,772,32500,17500,-
624,China Metallurgical Group,China,"Engineering, Construction",35314,384 ,54555,-,136104
625,China Minmetals,China,Metals,31883,"(1,680)",54493,-,90653
